Freq[Hz]     dBSPL  Phase[Deg]
8487.33     77.746   133.856
8610.78     76.281   134.499
8736.03     74.845   136.274
8863.09     73.402   139.345
8992.01     71.930   144.048
9122.80     70.465   150.810
9255.50     69.160   159.988
9390.12     68.362   170.842
9526.70     68.141  -178.494
9665.27     68.275  -169.344
9805.86     68.557  -162.018
9948.49     68.890  -156.162
10093.2     69.301  -151.532
10240.0     69.751  -148.119
10388.9     70.169  -145.812
10540.1     70.498  -144.419
10693.4     70.630  -143.516
10848.9     70.545  -142.516
11006.7     70.276  -140.864
11166.8     69.856  -137.908
11329.2     69.489  -133.172
11494.0     69.362  -126.675
11661.2     69.646  -119.049
11830.8     70.432  -111.687
12002.9     71.723  -106.169
12177.5     73.394  -103.552
12354.6     75.146  -103.930
12534.3     76.704  -106.721
12716.6     77.973  -111.257
12901.6     78.970  -117.043
13089.2     79.788  -123.780
13279.6     80.483  -131.284
13472.8     81.060  -139.434
13668.8     81.544  -148.286
13867.6     81.872  -157.904
14069.3     81.967  -167.994
14273.9     81.801  -178.407
14481.5     81.227   171.327
14692.2     80.176   161.651
14905.9     78.772   152.671
15122.7     76.907   145.277
15342.7     74.787   140.581
15565.8     72.813   138.881
15792.2     70.705   140.442
16021.9     69.086   144.913
16255.0     68.536   149.483
16491.4     68.316   152.538
16731.3     68.073   153.695
16974.7     67.706   153.749
17221.6     67.235   153.303
17472.1     66.631   152.792
17726.2     65.903   152.649
17984.0     65.305   152.674
18245.6     64.741   152.439
18511.0     64.297   151.839
18780.2     63.905   150.626
19053.4     63.125   149.440
19330.5     61.957   149.290
19611.7     60.513   150.800
19897.0     58.944   154.884
20186.4     58.014   161.052
20480.0     57.714   167.066
20777.9     57.536   172.036
21080.1     57.383   175.809
21386.7     57.230   178.916
21697.8     57.078  -178.387
22013.4     56.925  -175.986
22333.6     56.773  -173.812
22658.4     56.620  -171.822
22988.0     56.468  -169.983
23322.4     56.315  -168.272
23661.6     56.162  -166.672
24005.8     56.010  -165.168
24355.0     55.857  -163.749
24709.2     55.705  -162.404
25068.6     55.552  -161.128
25433.2     55.400  -159.912
25803.2     55.247  -158.751
26178.5     55.094  -157.641
26559.3     54.942  -156.577
26945.6     54.789  -155.556
27337.5     54.637  -154.574
27735.2     54.484  -153.629
28138.6     54.332  -152.718
28547.9     54.179  -151.839
28963.1     54.026  -150.989
29384.4     53.874  -150.168
29811.8     53.721  -149.373
30245.4     53.569  -148.602
30685.3     53.416  -147.855
31131.7     53.264  -147.131
31584.5     53.111  -146.427
32043.9     52.958  -145.743
32510.0     52.806  -145.079
32982.8     52.653  -144.432
33462.6     52.501  -143.803
33949.3     52.348  -143.190
34443.1     52.196  -142.593
34944.1     52.043  -142.011
35452.4     51.890  -141.444
35968.0     51.738  -140.890
36491.2     51.585  -140.351
37022.0     51.433  -139.824
37560.5     51.280  -139.313
38106.8     51.130  -138.859
38661.1     50.986  -138.461
39223.4     50.876  -138.170
39793.9     50.802  -137.949
