Freq[Hz]  Imp[Ohm]  Phase[Deg]
3780.67      8.910    40.529
3835.67      8.984    40.581
3891.46      9.041    40.648
3948.06      9.091    40.742
4005.49      9.145    40.870
4063.75      9.200    41.053
4122.86      9.275    41.260
4182.82      9.351    41.447
4243.66      9.419    41.641
4305.39      9.505    41.834
4368.01      9.591    42.003
4431.55      9.680    42.159
4496.01      9.771    42.304
4561.40      9.857    42.447
4627.75      9.947    42.591
4695.06     10.035    42.739
4763.35     10.141    42.885
4832.64     10.252    43.008
4902.93     10.367    43.110
4974.24     10.482    43.188
5046.60     10.609    43.225
5120.00     10.746    43.203
5194.47     10.891    43.107
5270.03     11.041    42.906
5346.68     11.191    42.569
5424.45     11.322    42.113
5503.35     11.401    41.623
5583.40     11.410    41.206
5664.61     11.356    40.962
5747.01     11.288    40.958
5830.60     11.268    41.167
5915.41     11.306    41.500
6001.45     11.413    41.817
6088.74     11.535    42.023
6177.30     11.658    42.120
6267.15     11.778    42.112
6358.31     11.862    42.047
6450.80     11.943    41.970
6544.62     12.021    41.873
6639.82     12.077    41.791
6736.40     12.127    41.753
6834.38     12.153    41.770
6933.79     12.161    41.886
7034.64     12.187    42.101
7136.96     12.241    42.376
7240.77     12.318    42.678
7346.09     12.432    42.948
7452.94     12.547    43.153
7561.35     12.663    43.310
7671.33     12.776    43.425
7782.91     12.868    43.530
7896.12     12.957    43.655
8010.97     13.056    43.790
8127.49     13.157    43.938
8245.71     13.270    44.097
8365.65     13.383    44.250
8487.33     13.504    44.387
8610.78     13.641    44.496
8736.03     13.780    44.572
8863.09     13.917    44.623
8992.01     14.045    44.648
9122.80     14.160    44.669
9255.50     14.275    44.703
9390.12     14.390    44.753
9526.70     14.517    44.805
9665.27     14.641    44.854
9805.86     14.765    44.913
9948.49     14.901    44.968
10093.2     15.022    45.022
10240.0     15.155    45.088
10388.9     15.306    45.142
10540.1     15.458    45.179
10693.4     15.611    45.209
10848.9     15.774    45.214
11006.7     15.942    45.179
11166.8     16.120    45.098
11329.2     16.317    44.950
11494.0     16.489    44.736
11661.2     16.623    44.500
11830.8     16.721    44.278
12002.9     16.795    44.097
12177.5     16.865    43.982
12354.6     16.953    43.923
12534.3     17.030    43.912
12716.6     17.116    43.943
12901.6     17.218    43.988
13089.2     17.338    44.031
13279.6     17.474    44.065
13472.8     17.609    44.076
13668.8     17.727    44.077
